"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted"
"4139",5112.98584,5133.933105,5090.587891,5133.933105,58783300,5133.780762
"4140",5125.685059,5131.030762,5081.028809,5083.539063,52550300,5083.388184
"4141",5090.249023,5130.338867,5090.249023,5110.178223,49941000,5110.026367
"4142",5107.916016,5131.705078,5093.153809,5127.500977,49213200,5127.349121
"4143",5132.901855,5193.897949,5132.901855,5172.830078,52188500,5172.67627
"4144",5185.594238,5242.823242,5185.594238,5242.823242,51072100,5242.66748
"4145",5246.299805,5268.867188,5213.98877,5216.973145,63172100,5216.818359
"4146",5215.168945,5215.530762,5179.623047,5197.250977,40604200,5197.09668
"4147",5201.448242,5227.106934,5197.805176,5220.801758,37450800,5220.646973
"4148",5218.266113,5231.5,5200.623047,5224.39502,50637700,5224.239746
"4149",5245.403809,5301.930176,5245.403809,5274.36084,49296300,5274.20459
"4150",5278.49707,5299.212891,5255.46582,5299.212891,55657300,5299.055664
"4151",5300.898926,5334.121094,5215.994141,5215.994141,68556100,5215.839355
"4152",5280.209961,5368.251953,5279.585938,5361.576172,62344100,5361.416992
"4153",5356.905762,5386.563965,5356.428223,5373.323242,63205300,5373.163574
"4154",5367.583984,5383.49707,5331.326172,5351.87793,59763500,5351.719238
"4155",5365.008789,5389.608887,5357.615234,5373.862793,56277200,5373.703125
"4156",5380.111816,5427.518066,5377.418945,5420.246094,57902200,5420.085449
"4157",5435.206055,5458.979004,5427.268066,5458.979004,61349000,5458.816895
"4158",5459.894043,5476.220215,5428.678223,5440.292969,69806100,5440.131348
"4159",5439.757813,5457.124023,5405.891113,5423.949219,88003800,5423.788574
"4160",5438.091797,5455.799805,5397.312012,5419.087891,88527100,5418.927246
"4161",5432.832031,5449.063965,5366.34082,5377.195801,46370500,5377.036133
"4162",5390.019043,5396.949219,5296.591797,5320.561035,56913800,5320.402832
"4163",5341.934082,5377.421875,5338.641113,5371.846191,43406600,5371.686523
"4164",5387.766113,5461.450195,5386.12207,5461.450195,51925600,5461.288086
"4165",5468.013184,5470.979004,5416.035156,5416.035156,46129700,5415.874512
"4166",5425.895996,5435.191895,5398.794922,5427.174805,64659600,5427.01416
"4167",5434.035156,5438.5,5351.065918,5417.140137,59172200,5416.979492
"4168",5406.805176,5418.449219,5385.243164,5403.992188,55692400,5403.831543
"4169",5413.991211,5454.116211,5412.527832,5454.116211,48041800,5453.95459
"4170",5454.067871,5456.638184,5419.742188,5438.831055,63101200,5438.669434
"4171",5425.145996,5426.219238,5348.050781,5370.76416,54184900,5370.604492
"4172",5368.565918,5388.638184,5336.710938,5362.315918,56546900,5362.156738
"4173",5355.123047,5399.160156,5353.291016,5386.082031,49524600,5385.922363
"4174",5368.516113,5376.643066,5320.083984,5334.546875,47156400,5334.388672
"4175",5323.573242,5359.90918,5323.041992,5353.460938,46566900,5353.302246
"4176",5378.625,5396.916992,5347.592773,5356.954102,49406800,5356.794922
"4177",5363.044922,5373.208008,5342.558105,5372.096191,41155400,5371.936523
"4178",5382.216797,5393.086914,5357.521973,5381.354004,37206200,5381.194336
"4179",5383.062988,5383.536133,5364.609863,5371.078125,41376500,5370.918457
"4180",5355.342773,5358.506836,5281.916992,5281.916992,43296700,5281.759766
"4181",5266.108887,5268.539063,5211.866211,5215.566895,43786000,5215.412109
"4182",5188.397949,5189.35791,5128.167969,5146.038086,50757500,5145.885254
"4183",5160.748047,5270.48877,5158.727051,5265.818848,45898400,5265.662598
"4184",5287.421875,5305.089844,5252.254883,5267.769043,47385800,5267.612793
"4185",5289.12207,5331.974121,5286.13623,5321.84082,33639200,5321.682617
"4186",5323.298828,5336.250977,5298.277832,5302.493164,54051100,5302.335938
"4187",5295.882813,5348,5275.185059,5342.591797,46464800,5342.433105
"4188",5382.320801,5411.611816,5368.561035,5380.262207,47353800,5380.102539
"4189",5375.711914,5388.908203,5355.924805,5388.908203,43903000,5388.748535
"4190",5375.160156,5375.878906,5337.018066,5352.13916,37701800,5351.980469
"4191",5336.545898,5419.604004,5295.658203,5419.604004,50958300,5419.443359
"4192",5390.76123,5432.983887,5382.23584,5425.336914,67191800,5425.17627
"4193",5442.824219,5474.307129,5431.957031,5431.957031,69425300,5431.79541
"4194",5412.383789,5437.96582,5364.804199,5364.804199,53630200,5364.64502
"4195",5403.859863,5463.915039,5403.859863,5463.915039,53888800,5463.75293
"4196",5475.632813,5482.841797,5460.708984,5472.316895,53748000,5472.154297
"4197",5457.998047,5460.165039,5399.222168,5420.647949,65033700,5420.487305
"4198",5428.453125,5447.257813,5390.085938,5409.344238,71799300,5409.183594
"4199",5403.834961,5409.196777,5363.470215,5377.148926,59414300,5376.989258
"4200",5371.00293,5397.146973,5352.816895,5360.828125,64774600,5360.668945
"4201",5372.687012,5385.757813,5345.071777,5381.99707,84864400,5381.837402
"4202",5364.352051,5380.561035,5350.39209,5364.61084,55480600,5364.45166
"4203",5368.216797,5384.555176,5339.483887,5340.399902,52638100,5340.241211
"4204",5338.698242,5408.77002,5332.080078,5399.884766,55367700,5399.724121
"4205",5390.960938,5422.349121,5386.221191,5410.303223,61546400,5410.142578
"4206",5424.668945,5446.829102,5422.916992,5430.047852,62742900,5429.886719
"4207",5436.279785,5445.799805,5402.153809,5409.288086,116737500,5409.127441
"4208",5409.790039,5423.293945,5395.296875,5403.689941,201336300,5403.529297
"4209",5407.233887,5416.952148,5395.422852,5409.243164,79093700,5409.08252
"4210",5415.477051,5433.34082,5411.880859,5420.998047,81119800,5420.837402
"4211",5426.106934,5436.205078,5397.820801,5397.820801,85020700,5397.660645
"4212",5387.700195,5406.581055,5381.704102,5399.679199,198835200,5399.588867
"4213",5405.695801,5427.526855,5403.858887,5416.835938,333149600,5416.835938
"4214",5414.508789,5426.26416,5402.429199,5410.269043,109309200,5410.269043
"4215",5413.568848,5429.067871,5406.006836,5422.541992,135128600,5422.541992
"4216",5430.745117,5439.027832,5415.029785,5416.006836,80147600,5416.006836
"4217",5415.021973,5420.358887,5393.506836,5405.455078,95507600,5405.455078
"4218",5395.871094,5402.046875,5329.501953,5329.501953,71645500,5329.501953
"4219",5310.782227,5362.660156,5303.359863,5362.660156,63398900,5362.660156
"4220",5361.023926,5395.325195,5341.861816,5386.208008,83980500,5386.208008
"4221",5407.38916,5476.071777,5407.38916,5470.681152,9734142100,5470.681152
"4222",5478.03418,5491.701172,5345.12793,5414.320801,107152200,5414.320801
"4223",5444.041016,5482.105957,5443.733887,5450.306152,86519300,5450.306152
"4224",5380.641113,5380.685059,5231.971191,5231.971191,9788202500,5231.971191
"4225",5194.926758,5196.78418,5043.351074,5115.73877,91613700,5115.73877
"4226",5121.478027,5169.356934,5073.419922,5078.500977,76584600,5078.500977
"4227",5112.496094,5201.172852,5112.496094,5185.464844,80425400,5185.464844
"4228",5180.481934,5202.314941,5162.812012,5193.015137,75311800,5193.015137
"4229",5195.076172,5196.90918,5139.205078,5170.108887,71630400,5170.108887
"4230",5150.826172,5158.763184,5130.442871,5148.318848,91116600,5148.318848
"4231",5140.658203,5204.673828,5140.519043,5204.673828,97703800,5204.673828
