"","date","px.close"
"1",2000-01-04,700.218018
"2",2000-01-05,678.086975
"3",2000-01-06,688.520996
"4",2000-01-07,NA
"5",2000-01-10,NA
"6",2000-01-11,696.002991
"7",2000-01-12,690.164001
"8",2000-01-13,691.609985
"9",2000-01-14,690.892029
"10",2000-01-17,703.482971
"11",2000-01-18,685.716003
"12",2000-01-19,655.994995
"13",2000-01-20,670.153015
"14",2000-01-21,664.69397
"15",2000-01-24,656.721985
"16",2000-01-25,649.857971
"17",2000-01-26,643.38501
"18",2000-01-27,644.651001
"19",2000-01-28,634.669006
"20",2000-01-31,636.372009
"21",2000-02-01,616.856018
"22",2000-02-02,603.575989
"23",2000-02-03,614.309998
"24",2000-02-04,634.997986
"25",2000-02-07,636.427979
"26",2000-02-08,629.900024
"27",2000-02-09,632.450989
"28",2000-02-10,639.252991
"29",2000-02-11,635.078003
"30",2000-02-14,633.715027
"31",2000-02-15,636.89502
"32",2000-02-16,621.901978
"33",2000-02-17,600.174011
"34",2000-02-18,599.572998
"35",2000-02-21,592.987976
"36",2000-02-22,583.419983
"37",2000-02-23,584.427979
"38",2000-02-24,573.487
"39",2000-02-25,568.554993
"40",2000-02-28,576.541992
"41",2000-02-29,NA
"42",2000-03-01,565.478027
"43",2000-03-02,546.528015
"44",2000-03-03,548.552979
"45",2000-03-06,566.710022
"46",2000-03-07,562.758972
"47",2000-03-08,570.052002
"48",2000-03-09,585.179993
"49",2000-03-10,596.182007
"50",2000-03-13,587.575989
"51",2000-03-14,585.921021
"52",2000-03-15,586.869019
"53",2000-03-16,NA
"54",2000-03-17,590.85199
"55",2000-03-20,584.875977
"56",2000-03-21,578.965027
"57",2000-03-22,586.86499
"58",2000-03-23,586.007019
"59",2000-03-24,581.473022
"60",2000-03-27,585.237
"61",2000-03-28,588.731995
"62",2000-03-29,591.679016
"63",2000-03-30,583.276001
"64",2000-03-31,NA
"65",2000-04-03,570.901001
"66",2000-04-04,NA
"67",2000-04-05,564.182007
"68",2000-04-06,NA
"69",2000-04-07,570.815002
"70",2000-04-10,569.617004
"71",2000-04-11,569.73999
"72",2000-04-12,564.737
"73",2000-04-13,565.106995
"74",2000-04-14,556.788025
"75",2000-04-17,529.263
"76",2000-04-18,528.258972
"77",2000-04-19,526.299988
"78",2000-04-20,526.395996
"79",2000-04-21,NA
"80",2000-04-24,530.848999
"81",2000-04-25,519.04303
"82",2000-04-26,524.078003
"83",2000-04-27,521.619995
"84",2000-04-28,526.737
"85",2000-05-01,524.609009
"86",2000-05-02,531.254028
"87",2000-05-03,535.310974
"88",2000-05-04,538.966003
"89",2000-05-05,545.609985
"90",2000-05-08,550.328979
"91",2000-05-09,547.671997
"92",2000-05-10,548.23999
"93",2000-05-11,529.200989
"94",2000-05-12,526.877014
"95",2000-05-15,516.429993
"96",2000-05-16,497.819
"97",2000-05-17,514.851013
"98",2000-05-18,NA
"99",2000-05-19,509.404999
"100",2000-05-22,499.768005
"101",2000-05-23,495.51001
"102",2000-05-24,493.20401
"103",2000-05-25,490.682007
"104",2000-05-26,482.072998
"105",2000-05-29,461.389008
"106",2000-05-30,468.708008
"107",2000-05-31,454.326996
"108",2000-06-01,NA
"109",2000-06-02,444.447998
"110",2000-06-05,453.945007
"111",2000-06-06,452.761993
"112",2000-06-07,459.460999
"113",2000-06-08,478.209015
"114",2000-06-09,477.928009
"115",2000-06-12,476.03299
"116",2000-06-13,468.362
"117",2000-06-14,475.933014
"118",2000-06-15,NA
"119",2000-06-16,484.020996
"120",2000-06-19,490.687988
"121",2000-06-20,490.121002
"122",2000-06-21,494.492004
"123",2000-06-22,501.80899
"124",2000-06-23,503.144989
"125",2000-06-26,507.505005
"126",2000-06-27,502.050995
"127",2000-06-28,510.118011
"128",2000-06-29,512.596985
"129",2000-06-30,515.109985
"130",2000-07-03,503.855988
"131",2000-07-04,509.264008
"132",2000-07-05,512.466003
"133",2000-07-06,513.43103
"134",2000-07-07,508.108002
"135",2000-07-10,508.467987
"136",2000-07-11,512.617004
"137",2000-07-12,510.985992
"138",2000-07-13,505.92099
"139",2000-07-14,504.114014
"140",2000-07-17,506.802002
"141",2000-07-18,507.045013
"142",2000-07-19,513.778015
"143",2000-07-20,513.393005
"144",2000-07-21,508.794006
"145",2000-07-24,506.940002
"146",2000-07-25,499.677002
"147",2000-07-26,496.69101
"148",2000-07-27,499.178986
"149",2000-07-28,498.803986
"150",2000-07-31,492.192993
"151",2000-08-01,489.677002
"152",2000-08-02,490.437012
"153",2000-08-03,491.992004
"154",2000-08-04,494.160004
"155",2000-08-07,490.544006
"156",2000-08-08,485.079987
"157",2000-08-09,483.350006
"158",2000-08-10,488.618988
"159",2000-08-11,505.790985
"160",2000-08-14,504.066986
"161",2000-08-15,501.57901
"162",2000-08-16,496.399994
"163",2000-08-17,NA
"164",2000-08-18,494.187988
"165",2000-08-21,497.394012
"166",2000-08-22,500.098999
"167",2000-08-23,503.395996
"168",2000-08-24,482.653015
"169",2000-08-25,486.907013
"170",2000-08-28,481.666992
"171",2000-08-29,470.838013
"172",2000-08-30,469.061005
"173",2000-08-31,466.380005
"174",2000-09-01,470.415009
"175",2000-09-04,475.355988
"176",2000-09-05,478.421997
"177",2000-09-06,475.54599
"178",2000-09-07,472.598999
"179",2000-09-08,470.924988
"180",2000-09-11,462.537994
"181",2000-09-12,451.045013
"182",2000-09-13,442.091003
"183",2000-09-14,NA
"184",2000-09-15,NA
"185",2000-09-18,411.03299
"186",2000-09-19,425.127991
"187",2000-09-20,419.35199
